date,developerResponse,review,rating,isEdited,title,userName,platform,bank
2024-03-28 02:29:36,"{'id': 42953970, 'body': '안녕하세요 신한은행입니다. 서비스 이용에 불편드려 죄송합니다. 고객님 번거로우시겠지만 로그인 후 마이페이지 내정보 화면에서 등록된 고객님의 정보 확인을 부탁드립니다. 정보에 문제가 없을 경우 고객상담센터(1544-8000)로 문제 내용을 전달해주시면 빠르게 확인하여 조치 및 안내드리도록 하겠습니다. 감사합니다.', 'modified': '2024-04-01T05:11:28Z'}","인증방식 개똥입니다. 10번 하다가 겨우 한번 인증 성공했는데 전산자료랑 다르다고 실패 그 후.. 5번 더 했으나 신분증 인식이 안된다고 실패.. 포기하고 리뷰 남깁니다. 전산자료가 틀리면 도대체 제 신용카드랑 계좌는 어떻게 개설 되고 발급 된거며, 인식이 안되면 그냥 영상통화하고 신분증 보여주고 그냥 그렇게 해요 어플 하나 제대로 못만드는데 뭔 통합 입니까.. 신한카드 어플은 잘 사용하는데 왜 슈퍼쏠이랑 신한은행은 왜 안되는건데요.. 도대체 이해 할 수가 없네요.. 주거래 은행 바꾸는게 정답입니다 여러분.",5,False,비대면 인증방식,아니이게뭐야허허,App Store,신한은행
2024-05-29 16:46:48,"{'id': 44687562, 'body': '안녕하세요 신한은행입니다. \n먼저 서비스 이용에 불편 드려 죄송합니다. \n일부 환경에서 앱 접속에 실패하는 현상 관련하여 현재 개발팀에서 면밀히 검토하고 있습니다. \n일부 와이파이 환경에서 해당 현상이 발생할 수 있으니, 통신사 네트워크로 전환하여 사용해보시기를 부탁드립니다. \n지속적으로 문제 발생시 mobdev@shinhan.com 으로 연락처 및 화면 캡처를 보내주시면 신속히 지원해드릴 수 있도록 하겠습니다. \n빠른 시일 내에 조치하여 서비스 이용에 불편이 없도록 노력하겠습니다. 감사합니다.', 'modified': '2024-06-19T01:57:15Z'}",주 거래 은행인데 업데이트 후 아예 접속이 불가해요??!!??? 이게 말입니까ㅜㅜ 어떤 업무도 못해요ㅠ 젭알 빨리 개선 좀 부탁드립니다,5,False,젭알 도와주세요,호ㅗㄹㅎㄹㅇㅍㄹ,App Store,신한은행
2024-07-12 03:05:32,"{'id': 45264123, 'body': '안녕하세요 신한은행입니다. 먼저 SOL 사용에 불편을 드려 죄송합니다. 고객님이 남겨주신 리뷰 내용을 확인하였고, 면밀히 검토하여 서비스 이용에 불편이 없도록 조치하겠습니다. 다만 문제 현상이 재현이 되지 않아 리뷰 내용만으로는 정확한 원인 파악이 어려워 해결 방법 등 안내 드리지 못하는 점 양해 부탁드립니다. 앱 버전은\xa0 최신버전을 유지 부탁드립니다. 또한 이용중인 카드 관련해서는 지속적으로 개선하고 변화하여 더 좋은 혜택과 서비스를 제공하기 위해 노력하겠습니다. 추가 문의사항은 신한은행 고객상담센터(1544-8000), 신한카드 고객센터(1544-7000)로 자세한 내용을 전달해주시면 안내 도와드리도록 하겠습니다. 감사합니다.', 'modified': '2024-07-15T04:27:44Z'}","누르면 계좌전체가 나오면서 바로 하얀 화면으로 넘어가고 동작이 아무것도 되지 않습니다. 
신용카드 신한카드 사용중인데 사실 여행목적으로 PP카드 줄때 월회비 10만원 주고 만든거 계속 사용중인데 (물론 다른회사로 대체되고 10만원 회비 만큼 다른 상품을 선택해서 받을 수 있기에 회비 부담은 없습니다) 
하지만 이젠 바꿔야 할까봐요.. 무이자 할부도 6개월에서 3개월로 적어지고 삼성, 롯데, 우리는 적어졌다가 길어졌는데.. 해외결제건도 무이자 할부 가능해졌었는데 없어지고 사용이유가 없어졌네요.",5,False,내계좌 전체보기,ㅛ셔,App Store,신한은행
2024-03-20 05:17:13,"{'id': 42753142, 'body': '안녕하세요. 신한은행입니다. 먼저 SOL사용에 불편을 드려 정말 죄송합니다. 신분증 인식의 경우 주변환경의 영향을 많이 받습니다. 검은 바탕의 배경에서 빛 반사 없이 촬영해주시고, 신분증 내용 인식이 잘못된 경우에는 주민등록번호를 제외한 영역을 수정 후 진행하시면 업무 가능하십니다. 그럼에도 문제 현상이 계속되시는 경우 고객님의 정확한 현상 확인을 위하여 고객상담센터(1544-8000)나 쏠 내 고객의견 및 민원접수(전체메뉴→고객센터→고객지원)를 통해 자세한 내용을 전달해주시면 안내 도와드리도록 하겠습니다. 다시 한번 불편 드려 죄송합니다. 신한은행 드림.', 'modified': '2024-03-22T07:46:03Z'}","직원들 급여통장 만드는데 안드로이드는 물론이지만 아이폰이 심한듯하네요.
앱설치하고 신분증 10번도 더 찍어도 인증안되고 결국 영상통화 인증했는데, 새로운것 추가할때마다 신분증 사진인증 잘안되서 오늘 7번 영상통화인증했어요. 회사거래처만 아니에도 짜증나서 타은행으로 바꿨을거에요. 전 직원들이 거의 사진인증 잘안되서 애먹었다네요. 신분증 인증이 이렇게 어려워서 어디 신한은행 앱으로 통장 만들겠어요? 개발자 위주로 만들지 말고, 남녀노소가 편하게 쓸 수 있게 고객입장에서 잘만들었으면 좋겠네요.",5,False,아이폰 신분증 사진 인증 안돼요,트보르바,App Store,신한은행
2024-06-04 01:14:48,"{'id': 44437908, 'body': '안녕하세요. 신한은행입니다. 고객님, 문의주신 접근권한 설정 관련하여 답변 드립니다. 카메라, 마이크 접근권한은 SOL뱅크 이용 중 마이크, 카메라를 사용하는 업무 이용 시 권한을 요청합니다. 앱 이용 중 신분증 촬영 및 상담사 연결 등 비대면 서비스 업무를 이용하시면 접근권한 팝업이 보여지며, 허용하시면 기기의 설정에서 권한이 노출되오니 서비스 이용에 참고 부탁드립니다. 기타 서비스 이용 관련 문의가 있으신 경우 고객상담센터(1544-8000)나 ""SOL뱅크"" 고객의견 및 민원접수(전체메뉴→고객센터→고객지원)를 통해 자세한 내용을 전달해주시면 안내 도와드리도록 하겠습니다. 신한은행 드림.', 'modified': '2024-06-07T05:37:47Z'}","최초 어플 실행했어도 저런 메이지가 뜨고
설정에 가보면 이 어플은 저런거 설정하는데
없습니다(시리/알림/백그라운드앱새로고침/셀룰러데이터 항목들뿐이네요)
이걸 몇번을 재설치하고 ios 최신버전으로 업데이트해도 마찬가진데 해결방법이 있나요? 아니먼 추후 업데이트통해 고쳐질 예정인가요?",5,False,"카메라, 마이크 접근권한이 있어야한다는데",ㅇㅈㅆㅇㅎ,App Store,신한은행
2023-10-19 04:45:30,"{'id': 39668208, 'body': '안녕하세요 신한은행입니다. 고객님의 뱅킹 업무 편의성을 높이고 새로운 솔을 보여드리기 위해 최선을 다하였으나 기대를 충족시키지 못해 죄송합니다. 안타깝게도 고객님이 남겨주신 리뷰 내용만으로는 SOL 이용 중 고객님께서 겪으신 불편사항 확인이 어려운 상황입니다. SOL 참여마당을 통해 개선이 필요하거나 제안할 내용을 전달해 주신다면, 고객님의 의견을 검토하여 더 나은 서비스 제공을 위해 노력하겠습니다. 감사합니다. 신한은행 드림.', 'modified': '2023-10-23T04:23:28Z'}",이거 너무 싫어요 ㅋㅋ 인증서 만료됐는데 맨날 밤이나 새벽에만 시간돼서 재발급 하려면 꼭 비대면 통화하라그래서 추레한 제 모습이 부끄러워서 중간에 포기합니다 낮에는 은행 갈 시간도 없고 PC로 해도 똑같고 결국 포기하고 카카오뱅크 새로 계좌 만들어서 쓰고 있어요 신한은행 주거래계좌였는데 안타깝네여,5,False,비대명 영상통화,부농키티,App Store,신한은행
2024-03-17 14:09:05,"{'id': 42674308, 'body': '안녕하세요. 신한은행입니다. 먼저 SOL사용에 불편을 드려 정말 죄송합니다. 신분증 인식의 경우 주변환경의 영향을 많이 받습니다. 검은 바탕의 배경에서 빛 반사 없이 촬영해주시고, 신분증 내용 인식이 잘못된 경우에는 주민등록번호를 제외한 영역을 수정 후 진행하시면 업무 가능하십니다. 그럼에도 문제 현상이 계속되시는 경우 고객님의 정확한 현상 확인을 위하여 고객상담센터(1544-8000)나 쏠 내 고객의견 및 민원접수(전체메뉴→고객센터→고객지원)를 통해 자세한 내용을 전달해주시면 안내 도와드리도록 하겠습니다. 다시 한번 불편 드려 죄송합니다. 신한은행 드림.', 'modified': '2024-03-19T04:09:45Z'}","도대체 어떤 개발자가 만들었는지 궁금하네요 ㅋㅋㅋ 신분증 촬영할 때 폰 카메라 중 1x 기본이 아닌 0.5x 초광각을 사용해서 가뜩이나 화질이 떨어지는데, 그걸 세로가 아닌 가로로 크롭해서 더 떨어지고, 그 구린 화질에 ocr 프로그램도 이상한 걸 쓰는지 50번쯤 인증 시도하다가 포기했어요^^ 개발자 iq가 궁금해지네요",5,False,별 1개도 아까워요,아나내랴거저,App Store,신한은행
2023-12-25 13:46:57,"{'id': 40927678, 'body': '안녕하세요 신한은행입니다. 먼저 SOL사용에 불편을 드려 정말 죄송합니다. 고객님, 남겨주신 내용에 대해 확인하여 서비스 이용에 불편함이 없도록 개선하도록 하겠습니다. 서비스를 이용하시면서 불편한 점이나 개선할 점이 있으시면 고객상담센터(1544-8000)나 쏠 내 고객의견 및 민원접수(전체메뉴→고객센터→고객지원), SOL참여마당 메뉴를 통해 개선 내용을 전달해주시면 검토하여 더욱 편리한 서비스를 제공하도록 노력하겠습니다. 앞으로도 더욱 편리하면서 안정적인 서비스 제공을 위해 최선을 다하겠습니다. 감사합니다. 신한은행 드림.', 'modified': '2023-12-27T08:26:50Z'}","최초 환전신청 시 인천국제공항 1여객터미널로 지정했고 수령정보 변경하여 인천국제공항 2여객터미널로 변경, 변경신청완료시 막바로 이동하는 확인 화면에서는 정보가 잘 명시되는데(인천국제공항 2여객터미널) 메인화면으로 나와서 다시금 환전내역을 조회 -> 자세히보기 하면 인천국제공항 으로만 명시 됩니다. 사용자로서 궁금한 부분은 1. 수령영업점이 변경이 되었는데, 최초 등록한 데이터만 조회하도록 되어있는건지.. 2. 수령영업정이 변경이 안되었는데, 변경이 되었다고 거짓으로 알려주는건지.. 애매합니다ㅠㅠ",5,False,쏠편한환전 외화수령정보 변경 관련 모호한 점,리뷰킹킴선생,App Store,신한은행
2024-02-17 09:37:39,"{'id': 42037123, 'body': '안녕하세요 신한은행입니다. 고객님, 서비스 이용에 불편을 드려 죄송합니다. 문의주신 알림 메시지 관련하여 휴대폰 설정→\xa0알림→미리보기 표시 설정 및 알림→신한 SOL뱅크→미리보기 표시 등 설정 상태를 확인\xa0부탁드립니다. 그리고, SOL뱅크 앱과 수퍼SOL 앱을 같이 사용하시는 경우 슈퍼SOL 앱 내 알림설정 메뉴의 미리보기 설정이 되어 있는지도 확인 부탁드립니다.\xa0문제가 해결되지 않거나 추가 문의가 있으신 경우 고객상담센터(1544-8000) 또는 쏠 고객의견(전체메뉴→고객센터→고객지원)를 통해 다시 한번 내용을 전달해주시면 안내 도와드리도록 하겠습니다. 감사합니다.', 'modified': '2024-02-19T04:56:51Z'}","사용내역 알림이 뜰때 사용금액과 잔액이 표시되었는데 현재 ’새로운 메세지가 도착하였습니다‘라는 문구의 알림만 떠서 직접 어플에 들어가야 사용내역을 알 수 있어요.
핸드폰 설정과 어플 내 설정에서 껐다켜보고 어플 삭제도 해봤는데 변경이 안되네요.
해결 방법이 없을까요?",5,False,잘쓰고있습니다,먕먕쀼유,App Store,신한은행
2024-07-11 01:41:16,"{'id': 45264573, 'body': '안녕하세요 신한은행입니다. 먼저 SOL 사용에 불편을 드려 죄송합니다. 고객님 아이패드 인증 관련 어려움이 있으신 것 같습니다. 면밀히 검토하여 서비스 이용에 불편이 없도록 조치하겠습니다. 다만 전화, 문자가 안되거나 유심이 없는 본인인증이 어려운 기기에서는 간편 로그인 수단 등록이 어렵습니다. 해당 기기에서는 공동인증서를 이용 부탁드립니다. 추가 문의사항은 고객상담센터(1544-8000)나 ""SOL뱅크"" 고객의견 및 민원접수(전체메뉴→고객센터→고객지원)를 통해 자세한 내용을 전달해주시면 빠르게 원인을 파악하여 조치 및 안내 드릴 수 있도록 하겠습니다. 감사합니다.', 'modified': '2024-07-15T04:51:45Z'}",아이패드에서 로그인 하려는데 쓰는 기기에서만 문자 보내서 인증 가능하도록 되어있고 신분증 인증 누르니까 신분증 진위 확인이 어렵습니다 입력정보가 다릅니다만 떠서 10번쯤 시도하고 꺼버렸네요 인증을 무슨 중국마냥 빡세게 할거면 인증 확인이라도 잘 되게 만듭시다 그리고 휴대폰 인증이 전화 문자 되는 기기에서만 가능한거면 패드같은 공기기 쓰는 사람은 어떡하나요,5,False,아이패드 인증,rising estell,App Store,신한은행
