reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,platform,bank,date,developerResponse,review,rating,isEdited,title
142bcfc1-b071-4c4b-9c29-6ea7087431e4,lettuce,https://play-lh.googleusercontent.com/a-/ALV-UjU46CobtY1Inks0DXwPaz1qf-6cizHTd9a8hsdRCgdHUsVBBQ_K,비대면 신분증 인식률이 너무 안좋음... 모든 조건을 충족해도 횟수 초과로 계좌 개설이 불가ㅠㅜ 본인 확인이 목적인건지 사진사가 목적인건지 의심갈정도로 인식률이 떨어져서 아쉽습니다 ㅠㅠ,1.0,0.0,11.7.3,2024-07-27 19:33:32,"안녕하세요 신한은행입니다.
먼저 SOL사용에 불편을 드려 죄송합니다.
신분증진위확인은 신분증의 고객정보와 사진정보를 확인하는 절차로 모든 정보가 일치해야 하며, 주변환경의 영향을 많이 받아 어두운 배경의 빛반사가 없는 곳에서 홀로그램에 유의하여 촬영 부탁 드립니다. 신분증정보가 잘못 입력되어 노출되는 경우 정보 수정 후 진행을 부탁 드립니다.
문제 현상이 계속되시는 경우 고객님의 고객번호를 mobdev@shinhan.com 이메일로 전달 주시면, 개발팀에서 정확한 원인을 파악 후 신속히 도움 드리도록 하겠습니다. (고객번호 확인 방법: 로그인→홈 화면 우측상단 프로필 아이콘(사람모양)→내 정보 확인)",2024-07-29 14:04:24,11.7.3,Google Play,신한은행,,,,,,
b76c4c31-e566-41de-a2e2-8062096f4567,Kris Pak,https://play-lh.googleusercontent.com/a-/ALV-UjWEIo-qXIQRJ9d6--cw38zKQQm07oXp4oGTR_IwJR3WbesT-5o4,"Please make app usable in English and other languages. Some Koreans prefer English or other languages, and we are not allowed to use the ""foreigner"" or Global version for some reason. Either add other languages to this version, or allow Koreans to use the multilingual version and add all the functions to use that version. It would be cheaper than employing an entire department of multilingual staff, right?",2.0,1.0,11.7.2,2024-07-17 20:04:43,"안녕하세요 신한은행입니다.
먼저 SOL사용에 불편을 드려 죄송합니다.
서비스를 이용하시면서 불편한 점이나 개선할 점이 있으시면 고객상담센터(1544-8000)나 ""SOL뱅크"" 고객의견 및 민원접수(전체메뉴→고객센터→고객지원), SOL참여마당 메뉴를 통해 개선 내용을 전달해 주시면 검토하여 더욱 편리한 서비스를 제공하도록 노력하겠습니다. 앞으로도 더욱 편리하면서 안정적인 서비스 제공을 위해 최선을 다하겠습니다. 감사합니다. 신한은행 드림.",2024-07-18 13:32:28,11.7.2,Google Play,신한은행,,,,,,
07419d8c-2a74-453a-99e4-2c81cf4ec3ef,Isaac Gove,https://play-lh.googleusercontent.com/a/ACg8ocJcQ20XaPiaBuB-5KAyJszWe2qpQpLfkn4Ncrcz0KKgUtEk2g=mo,얼굴인식 해야되는데 100번 시도 해도 실패하네. 진짜 TRASH,1.0,0.0,11.7.2,2024-07-13 01:57:39,"안녕하세요. 신한은행입니다. 먼저 SOL사용에 불편을 드려 정말 죄송합니다.
얼굴인증의 경우 핸드폰과 얼굴 정면으로 마주해야 더 정확한 인증이 가능합니다. 너무 밝거나 너무 어둡지 않은 곳에서 이용해주시고, 문제 현상이 계속되시는 경우 고객님의 정확한 현상 확인을 위하여 고객상담센터(1544-8000)나 ""SOL뱅크"" 고객의견 및 민원접수(전체 메뉴→고객센터→고객지원)를 통해 자세한 내용을 전달해주시면 안내 도와드리도록 하겠습니다.
다시 한번 불편 드려 죄송합니다. 신한은행 드림",2024-07-15 13:12:26,11.7.2,Google Play,신한은행,,,,,,
bf12859a-0c09-4cca-9cc0-fc236f884074,Bohyeun Kim (普賢),https://play-lh.googleusercontent.com/a-/ALV-UjXp0qowrq3s1KmgnvqwOk_K72P6MnfpT1ifwEHutz2yDIsvDCeIhg,녹스환경에서 설치. 아이디 비번 로그인 하고서. 본인인증 이상한 문자열 발송 정지상태로. 신분증 인증 세번 했는데. 그것역시 정지상태로 멈춰있네요. 굉장히 불안하고 구린 것처럼 보입니다. 공동인증서 타행발급 불러오는 것도 에러납니다.,1.0,1.0,8.0.0,2024-07-10 01:16:23,"안녕하세요 고객님
신한SOL뱅크 앱은 모바일 전용 애플리케이션으로 태블릿이나 PC환경에서 에뮬레이터를 설치한 후 이용 시 서비스 이용이 원활하지 않을 수 있습니다. 이 점 참고 부탁드리며 애플iOS, 구글Android OS운영체제를 사용하는 모바일 기기에서 앱 설치 후 이용을 부탁드립니다. 감사합니다.",2024-07-10 13:40:47,8.0.0,Google Play,신한은행,,,,,,
3bc42c81-212e-42f7-a394-f6eefee5098c,Heyone혜원,https://play-lh.googleusercontent.com/a-/ALV-UjXlCrIwy0gIDhDlpTWrBz__UkZW_fFweHyZXGqFJxXqtfmNA7gLtQ,대체 왜 통합은 안하고 다 찔짤이로 분리해서 앱을 만드는걸까.. 자산 보려고 했더니 앱을 깔아야 내 자산을 볼 수 있다고? 장난하나 신한만 쳐도 앱이 몇개가 나오는데 이걸 언제 다 깔고 열어봐... 진짜 싫음,1.0,0.0,8.2.5,2024-03-26 17:15:08,"안녕하세요 신한은행입니다.
고객님, 신한SOL뱅크앱에서 타 금융 등 자산연결 확인이 필요하신 경우 ""자산관리"" 하단메뉴에서 연결할 자산 선택 후 연결하여 서비스 이용이 가능합니다.
자산 확인 시 다른앱 설치를 안내하고 있지 않고 있으나 어떤 업무를 진행하고 계시는지 고객상담센터(1544-8000)로 내용을 자세히 전달해 주시면 확인 후 안내 도움 드리겠습니다. 감사합니다.",2024-03-27 14:54:27,8.2.5,Google Play,신한은행,,,,,,
ba5d3bd9-1042-4c5e-a8c2-29650808cfcc,Jay B.,https://play-lh.googleusercontent.com/a/ACg8ocJh79yhS8P36cb3l224WC1RdDcViDH7_6-AEJI2oErnoAMsKg=mo,앱 초기화면에서 멈춰있습니다.,2.0,0.0,11.6.4,2024-03-04 10:49:02,안녕하세요 신한은행입니다. 먼저 SOL 사용에 불편을 드려 죄송합니다. 고객님이 남겨주신 리뷰 내용을 확인하였습니다. 면밀히 검토하여 서비스 이용에 불편이 없도록 조치하겠습니다. 다만 문제 현상이 재현이 되지 않아 리뷰 내용만으로는 정확한 원인 파악이 어려워 해결 방법 등 안내 드리지 못하는 점 양해 부탁드립니다. 사용하고 계신 앱 버전이 최신버전이 아닐 경우 스토어에서 최신버전 업데이트 후 이용을 부탁드립니다. 만약 문제현상이 계속 발생하시는 경우 고객상담센터(1544-8000)나 쏠 내 고객의견 및 민원접수(전체메뉴→고객센터→고객지원)를 통해 자세한 내용을 전달해주시면 안내 도와드리도록 하겠습니다. 신한은행 드림.,2024-03-05 13:10:03,11.6.4,Google Play,신한은행,,,,,,
fa0d3c9f-8007-43b6-99d8-785621b268fd,샤,https://play-lh.googleusercontent.com/a-/ALV-UjUixqnMhtwbeK4Hsp0cDnEJkdGiBF4peiU_tFhPnl3x4fUsTTqMUQ,페이 QR 코드는 어딨어요? 페이스북 결제하려고 신한카드 등록하니까 슈퍼 sol 페이에이쓸 큐알카메라로 pc에 뜬 큐알 찍으라는데 어디에도 QR코드 아이콘이 보이지 않아요. 페이라는 이름의 메뉴도 없고요.,1.0,0.0,11.6.4,2024-02-29 21:00:22,"안녕하세요 신한은행입니다.
먼저 이용에 불편을 드려 정말 죄송합니다.
고객님 결제 관련 어려움이 있으신 것 같습니다.
신한카드 결제 관련해서는 ""신한 SOL Pay"" 앱을 이용 부탁 드리며, 자세한 내용은 고객상담센터(1544-8000) 으로 문의주시면 고객님이 사용하시려는 환경 등을 정확히 확인한 후 안내 도움 드리겠습니다.
감사합니다. 신한은행 드림.",2024-03-04 14:27:40,11.6.4,Google Play,신한은행,,,,,,
54765ef8-42b7-48f5-8bb7-1198489fc0cd,Ramesh King,https://play-lh.googleusercontent.com/a-/ALV-UjUpWsyjk3OFYHkFnu82_ZIWNVFfxa9XsmvNJOtm63Ld_G5aldBDGg,20 years,5.0,0.0,,2024-02-29 02:58:34,"안녕하세요. 고객님
쏠을 잘 이용해주셔서 감사합니다.
신한은행 쏠은 고객님들이 더욱 더 편하게 사용할 수 있도록 지속적으로 변화하고 있으니 앞으로도 많은 격려 부탁드립니다.
감사합니다. 신한은행 드림.",2024-02-29 13:09:33,,Google Play,신한은행,,,,,,
575f53b0-f9a7-4123-b8b0-24cce6f57fb5,Jihwan Kim,https://play-lh.googleusercontent.com/a-/ALV-UjU5jd_YtaftgwIn3uBg9bLQFL_JJZid339boLAcR-A8z9aiv2R8,이런 쓸모없는 어플은 처음봅니다. 예금 하려는데 통장 선택이 불가능합니다. 통장이 없어져서 가입도 할 수 없고 일부러 고객들 시간 버리려고 이렇게 만드셨나요? 아니면 더이상 고객이 예금 가입하는걸 보고싶지 않아서 그랬어요? 하 진짜,1.0,0.0,,2024-01-30 11:43:17,안녕하세요 신한은행입니다. 먼저 SOL 사용에 불편을 드려 죄송합니다. 고객님이 남겨주신 리뷰 내용을 확인하였습니다. 면밀히 검토하여 서비스 이용에 불편이 없도록 조치하겠습니다. 다만 문제 현상이 재현이 되지 않아 리뷰 내용만으로는 정확한 원인 파악이 어려워 해결 방법 등 안내 드리지 못하는 점 양해 부탁드립니다. 사용하고 계신 앱 버전이 최신버전이 아닐 경우 스토어에서 최신버전 업데이트 후 이용을 부탁드립니다. 만약 문제현상이 계속 발생하시는 경우 고객상담센터(1544-8000)나 쏠 내 고객의견 및 민원접수(전체메뉴→고객센터→고객지원)를 통해 자세한 내용을 전달해주시면 안내 도와드리도록 하겠습니다. 신한은행 드림.,2024-01-31 13:16:50,,Google Play,신한은행,,,,,,
c38c5f3a-ceb5-4dbc-8f97-c5733b263034,김수인,https://play-lh.googleusercontent.com/a/ACg8ocIXQHkyHgDOpBkBAOvRJv-ZxXcy1ISaBL27zGlkQ2WJgpaOFQ=mo,중국에서 사용하는데 어플 접속할 때마다 해외ip인증 하라고 하니 여간 불편한 게 아니에요...,1.0,0.0,11.6.0,2024-01-16 21:57:09,"안녕하세요, 신한은행입니다.
고객님 해외 이용 관련 문의가 있으신 경우 신한은행 해외 전용 고객센터(+82-2-3449-8000) 또는 인터넷 ERMS를 통해 문의사항을 접수해주시면 보다 자세히 대안을 찾아드릴 수 있도록 노력하겠습니다.
감사합니다.",2024-01-17 13:19:04,11.6.0,Google Play,신한은행,,,,,,
